rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
284	biotin	O75326	SEMA7A	Isoform 1 of Semaphorin-7A	Homo sapiens	3NVQ	A	2.40	X-RAY DIFFRACTION	2010-09-15	1.000	0.977	45-634	O75326-1	45-648	45-634	SEA-H82E7	https://www.acrobiosystems.com/products/protein/semaphorin-7a-human-sea-h82e7	True	72.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
285	biotin	P02768	ALB	Isoform 1 of Albumin	Homo sapiens	6YG9	A	1.89	X-RAY DIFFRACTION	2021-01-13	1.000	1.000	25-609	P02768-1	25-609	25-609	HSA-H82E3	https://www.acrobiosystems.com/products/protein/serum-albumin-human-hsa-h82e3	True	70.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
286	biotin	Q6ZMC9	SIGLEC15	Isoform 1 of Sialic acid-binding Ig-like lectin 15	Homo sapiens	7ZOZ	A	2.10	X-RAY DIFFRACTION	2023-06-28	1.000	1.000	20-263	Q6ZMC9-1	20-263	20-263	SG5-H82E9	https://www.acrobiosystems.com/products/protein/siglec-15-human-sg5-h82e9	True	30.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					25 mM MES,150 mM NaCl, pH5.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
287	biotin	P20273	CD22	Isoform CD22-beta of B-cell receptor CD22	Homo sapiens	5VKJ	A	2.12	X-RAY DIFFRACTION	2017-10-04	0.984	0.466	20-330	P20273-1	20-687	20-330	SI2-H82E3	https://www.acrobiosystems.com/products/protein/siglec-2-human-si2-h82e3	True	78.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 24 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0	100.0	sterility and endotoxin tests, HABA assay / binding ELISA, SDS-PAGE, SEC-MALS, Host Cell Protein ELISA, Mycoplasma
288	biotin	P20138	CD33	Myeloid cell surface antigen CD33	Homo sapiens	7AW6	A	1.95	X-RAY DIFFRACTION	2020-12-16	0.981	0.888	18-232	AAH28152.1	18-259	18-232	CD3-H82E7	https://www.acrobiosystems.com/products/protein/siglec-3-human-cd3-h82e7	True	29.4	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0	0.1	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
289	biotin	Q9Y286	SIGLEC7	Isoform 1 of Sialic acid-binding Ig-like lectin 7	Homo sapiens	1NKO	A	1.45	X-RAY DIFFRACTION	2003-04-01	0.992	0.394	19-150	Q9Y286-1	19-353	19-150	SG7-H82E7	https://www.acrobiosystems.com/products/protein/siglec-7-human-sg7-h82e7	True	40.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					25 mM MES, 150 mM NaCl, pH5.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
290	biotin	Q9NYZ4	SIGLEC8	Isoform 1 of Sialic acid-binding Ig-like lectin 8	Homo sapiens	7QUH	A	2.87	X-RAY DIFFRACTION	2023-05-31	0.997	0.968	17-352	Q9NYZ4-1	17-363	17-352	SI8-H82E9	https://www.acrobiosystems.com/products/protein/siglec-8-human-si8-h82e9	True	41.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, 0.5 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
291	biotin	Q99523	SORT1	Isoform 1 of Sortilin	Homo sapiens	3F6K	A	2.00	X-RAY DIFFRACTION	2008-12-30	0.999	1.000	78-755	Q99523-1	78-755	78-755	SON-H82E9	https://www.acrobiosystems.com/products/protein/sortilin-human-son-h82e9	True	79.3	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
292	biotin	P0DTC2	S	Spike glycoprotein	Severe acute respiratory syndrome coronavirus 2	8G71	A	2.10	ELECTRON MICROSCOPY	2024-02-21	1.000	1.000	16-318	QHD43416.1	16-318	16-318	S1D-C52E2	https://www.acrobiosystems.com/products/protein/spike-ntd-sars-cov-2-s1d-c52e2	True	38.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
293	biotin	P18827	SDC1	Syndecan-1	Homo sapiens	6EJE	B	2.43	X-RAY DIFFRACTION	2018-05-02	1.000	0.052	201-212	P18827-1	23-254	201-212	SY1-H82E2	https://www.acrobiosystems.com/products/protein/syndecan-1-human-sy1-h82e2	True	27.5	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
294	biotin	O14836	TNFRSF13B	Isoform 1 of Tumor necrosis factor receptor superfamily member 13B	Homo sapiens	1XU1	R	1.90	X-RAY DIFFRACTION	2004-11-09	1.000	0.255	68-109	O14836-1	2-166	68-109	TAI-H82F6	https://www.acrobiosystems.com/products/protein/taci-human-tai-h82f6	True	46.7	Lyophilized	human 293 cells (HEK293)	Fc, Avitag					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
295	biotin	Q9H6X2	ANTXR1	Anthrax toxin receptor 1	Homo sapiens	3N2N	A	1.80	X-RAY DIFFRACTION	2011-01-05	0.995	0.633	38-220	Q9H6X2	33-321	38-220	TE8-H82E3	https://www.acrobiosystems.com/products/protein/tem8-antxr1-human-te8-h82e3	True	36.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
296	biotin	P10600	TGFB3	Isoform 1 of Transforming growth factor beta-3 proprotein	Homo sapiens	8VS6	E	2.73	ELECTRON MICROSCOPY	2024-09-11	1.000	1.000	24-412	P10600-1	24-412	24-412	TG3-H82E6	https://www.acrobiosystems.com/products/protein/tgf-beta-3-human-tg3-h82e6	True	48.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus and an Avi tag (Avitag™) at the C-terminus					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
297	biotin	P37173	TGFBR2	Isoform 1 of TGF-beta receptor type-2	Homo sapiens	1KTZ	B	2.15	X-RAY DIFFRACTION	2002-02-27	1.000	0.891	38-159	P37173-1	23-159	38-159	TG2-H82E4	https://www.acrobiosystems.com/products/protein/tgf-beta-rii-human-tg2-h82e4	True	19.1	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-HPLC
298	biotin	Q495A1	TIGIT	Isoform 1 of T-cell immunoreceptor with Ig and ITIM domains	Homo sapiens	3Q0H	A	1.70	X-RAY DIFFRACTION	2011-02-16	1.000	0.967	22-137	Q495A1-1	22-141	22-137	TIT-H82F1	https://www.acrobiosystems.com/products/protein/tigit-human-tit-h82f1	True	41.3	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
299	biotin	Q8TDQ0	HAVCR2	Isoform 1 of Hepatitis A virus cellular receptor 2	Homo sapiens	7KQL	T	1.49	X-RAY DIFFRACTION	2022-02-09	1.000	0.620	22-132	Q8TDQ0-1	22-200	22-132	TM3-H82E7	https://www.acrobiosystems.com/products/protein/tim-3-human-tm3-h82e7	True	23.1	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
300	biotin	O95150	TNFSF15	Isoform 1 of Tumor necrosis factor ligand superfamily member 15	Homo sapiens	2RE9	A	2.10	X-RAY DIFFRACTION	2007-10-09	1.000	1.000	72-251	O95150-1	72-251	72-251	TLA-H52Q1	https://www.acrobiosystems.com/products/protein/tl1a-human-tla-h52q1	True	24.1	Lyophilized	HEK293	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, 0.5 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
301	biotin	P01375	TNF	Tumor necrosis factor	Homo sapiens	5UUI	A	1.40	X-RAY DIFFRACTION	2017-08-02	0.994	1.000	77-233	NP_000585.2	77-233	77-233	TNA-H82E3	https://www.acrobiosystems.com/products/protein/tnf-alpha-human-tna-h82e3	True	20.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution.	95.0	1.0	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
302	biotin	P19438	TNFRSF1A	Isoform 1 of Tumor necrosis factor receptor superfamily member 1A	Homo sapiens	1EXT	A	1.85	X-RAY DIFFRACTION	1997-01-11	1.000	0.887	41-126	P19438-1	30-126	41-126	TN1-H82E4	https://www.acrobiosystems.com/products/protein/tnfr1-human-tn1-h82e4	True	14.6	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
303	biotin	P20333	TNFRSF1B	Isoform 1 of Tumor necrosis factor receptor superfamily member 1B	Homo sapiens	9CU8	B	1.96	X-RAY DIFFRACTION	2024-12-04	1.000	0.809	23-212	P20333-1	23-257	23-212	TN2-H82E3	https://www.acrobiosystems.com/products/protein/tnfr2-human-tn2-h82e3	True	28.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
304	biotin	O14788	TNFSF11	Tumor necrosis factor ligand superfamily member 11	Homo sapiens	5BNQ	A	2.80	X-RAY DIFFRACTION	2015-10-14	0.994	0.879	86-245	AAC51762.1	64-245	86-245	RAL-H82Q5	https://www.acrobiosystems.com/products/protein/tnfsf11-human-ral-h82q5	True	24.1	Lyophilized	HEK293	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
305	biotin	Q13641	TPBG	Trophoblast glycoprotein	Homo sapiens	4CNM	A	1.75	X-RAY DIFFRACTION	2014-02-26	1.000	0.883	60-345	Q13641-1	32-355	60-345	TPG-H82Eb	https://www.acrobiosystems.com/products/protein/tpbg-human-tpg-h82eb	True	39.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
306	biotin	O14763	TNFRSF10B	Isoform Long of Tumor necrosis factor receptor superfamily member 10B	Homo sapiens	1DU3	A	2.20	X-RAY DIFFRACTION	2000-09-27	1.000	1.000	56-182	O14763-1	56-182	56-182	TR2-H82E6	https://www.acrobiosystems.com/products/protein/trail-r2-human-tr2-h82e6	True	16.9	Lyophilized	human 293 cells (HEK293)	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -70°C (after reconstitution)	90.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
307	biotin	P01850	TRBC1	T cell receptor beta constant 1	Homo sapiens	9BBC	B	3.30	ELECTRON MICROSCOPY	2024-10-02	0.972	1.000	1-144	P01850-1	1-144	1-144	TR1-H82E6	https://www.acrobiosystems.com/products/protein/trbc1-human-tr1-h82e6	True	19.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0	200.0	HABA assay / binding ELISA
